trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,9.144363599829376,9.144363599829376,0.0007011997513473034,[-0.14629629629629629],[0.11666666666666667],[1],[0],[0],[4.946001200005412],['target'],016946,001,2023-09-30_18h47.21.809,visual search,2023.1.3,60.00751285810119,
1,0,1,0,,14.09855639981106,14.09855639981106,0.00017490005120635033,[-0.13333333333333333],[0.1259259259259259],[1],[0],[0],[2.248047400265932],['target'],016946,001,2023-09-30_18h47.21.809,visual search,2023.1.3,60.00751285810119,
2,0,2,0,,16.34794310014695,16.34794310014695,0.0001926003023982048,[-0.13333333333333333],[0.1259259259259259],[1],[0],[0],[0.4967794003896415],['target'],016946,001,2023-09-30_18h47.21.809,visual search,2023.1.3,60.00751285810119,
3,0,3,0,,16.84789719991386,16.84789719991386,0.0002055000513792038,[-0.13333333333333333],[0.13055555555555556],[1],[0],[0],[0.43239609990268946],['target'],016946,001,2023-09-30_18h47.21.809,visual search,2023.1.3,60.00751285810119,
4,0,4,0,,17.28148189978674,17.28148189978674,0.0002485997974872589,[-0.13333333333333333],[0.13055555555555556],[1],[0],[0],[0.414608399849385],['target'],016946,001,2023-09-30_18h47.21.809,visual search,2023.1.3,60.00751285810119,
