trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
64,0,64,0,,125.26871540024877,125.26871540024877,0.0010249996557831764,[-0.4740740740740741],[-0.4861111111111111],[1],[0],[0],[1.4631174998357892],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
65,0,65,0,,126.73537580017,126.73537580017,0.0008111000061035156,[0.037037037037037035],[-0.4111111111111111],[1],[0],[0],[1.4792683999985456],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
66,0,66,0,,128.2186565999873,128.2186565999873,0.0009598000906407833,[0.07685185185185185],[0.49444444444444446],[1],[0],[0],[1.8131194999441504],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
67,0,67,0,,130.0355450999923,130.0355450999923,0.0008312002755701542,[-0.36203703703703705],[-0.4444444444444444],[1],[0],[0],[1.678307400085032],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
68,0,68,0,,131.71850429987535,131.71850429987535,0.0009866002947092056,[0.3990740740740741],[0.2490740740740741],[1],[0],[0],[1.7445487002842128],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
69,0,69,0,,133.46846790006384,133.46846790006384,0.000750100240111351,[-0.1962962962962963],[-0.14074074074074075],[1],[0],[0],[1.5309100998565555],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
70,0,70,0,,135.00201279995963,135.00201279995963,0.0007611000910401344,[0.13703703703703704],[-0.15648148148148147],[1],[0],[0],[0.9942816998809576],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
71,0,71,0,,136.00217360025272,136.00217360025272,0.000781599897891283,[0.1398148148148148],[0.4925925925925926],[1],[0],[0],[0.8803071002475917],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
72,0,72,0,,136.8855357998982,136.8855357998982,0.0008799000643193722,[-0.1962962962962963],[0.4166666666666667],[1],[0],[0],[0.9617796000093222],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
73,0,73,0,,137.85199049999937,137.85199049999937,0.0011680000461637974,[-0.07037037037037037],[-0.08888888888888889],[1],[0],[0],[1.027515099849552],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
74,0,74,0,,138.8856048998423,138.8856048998423,0.0010200003162026405,[-0.15185185185185185],[0.43333333333333335],[1],[0],[0],[0.91146200010553],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
75,0,75,0,,139.802110100165,139.802110100165,0.0007646000012755394,[0.27037037037037037],[0.01574074074074074],[1],[0],[0],[0.8796574003063142],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
76,0,76,0,,140.6864561000839,140.6864561000839,0.0009973999112844467,[-0.02962962962962963],[-0.1259259259259259],[1],[0],[0],[1.080608599819243],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
77,0,77,0,,141.7688301000744,141.7688301000744,0.0010010004043579102,"[0.48333333333333334, 0.48703703703703705]","[-0.42685185185185187, -0.43148148148148147]","[1, 1]","[0, 0]","[0, 0]","[0.9926839000545442, 1.3422790002077818]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
78,0,78,0,,143.11878130026162,143.11878130026162,0.0007384000346064568,[0.3861111111111111],[0.2175925925925926],[1],[0],[0],[1.228096699807793],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
79,0,79,0,,144.3519933000207,144.3519933000207,0.000735200010240078,[-0.24166666666666667],[0.09722222222222222],[1],[0],[0],[1.129127100110054],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
80,0,80,0,,145.48557069990784,145.48557069990784,0.0007239999249577522,[0.006481481481481481],[0.26481481481481484],[1],[0],[0],[0.9140145997516811],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
81,0,81,0,,146.40222509996966,146.40222509996966,0.0007588998414576054,[0.2898148148148148],[-0.44722222222222224],[1],[0],[0],[1.127328199800104],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
82,0,82,0,,147.53528629988432,147.53528629988432,0.0008057998493313789,[-0.23333333333333334],[0.3314814814814815],[1],[0],[0],[0.928536900319159],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
